0|0|0|61|91|122|"Moist"|"229339244"|"143888870"
61|91|122|122|135|150|"Wet"|"229339244"|"143888871"
122|135|150|200|200|200|"Moist"|"229339242"|"143888863"
0|0|0|61|91|122|"Moist"|"229339242"|"143888864"
61|91|122|122|135|150|"Wet"|"229339242"|"143888865"
122|135|150|200|200|200|"Moist"|"229339241"|"143888860"
0|0|0|61|91|122|"Moist"|"229339241"|"143888861"
61|91|122|122|135|150|"Wet"|"229339241"|"143888862"
0|0|0|200|200|200|"Moist"|"229339349"|"143888944"
0|0|0|200|200|200|"Moist"|"229339359"|"143888961"
0|0|0|15|30|45|"Moist"|"229339353"|"143888951"
15|30|45|200|200|200|"Wet"|"229339353"|"143888950"
0|0|0|15|30|45|"Moist"|"229339351"|"143888946"
15|30|45|200|200|200|"Wet"|"229339351"|"143888947"
0|0|0|15|30|45|"Moist"|"229339358"|"143888960"
15|30|45|200|200|200|"Wet"|"229339358"|"143888959"
0|0|0|200|200|200|"Moist"|"229339348"|"143888943"
0|0|0|15|30|45|"Moist"|"229339352"|"143888948"
15|30|45|200|200|200|"Wet"|"229339352"|"143888949"
0|0|0|15|30|45|"Moist"|"229339354"|"143888953"
15|30|45|200|200|200|"Wet"|"229339354"|"143888952"
0|0|0|15|30|45|"Moist"|"229339357"|"143888958"
15|30|45|200|200|200|"Wet"|"229339357"|"143888957"
0|0|0|200|200|200|"Moist"|"229339350"|"143888945"
0|0|0|200|200|200|"Moist"|"229339355"|"143888954"
0|0|0|15|30|45|"Moist"|"229339356"|"143888955"
15|30|45|200|200|200|"Wet"|"229339356"|"143888956"
46|91|122|200|200|200|"Moist"|"229338359"|"143888416"
0|0|0|30|61|91|"Moist"|"229338359"|"143888417"
30|61|91|46|91|122|"Wet"|"229338359"|"143888418"
46|91|122|200|200|200|"Moist"|"229338352"|"143888413"
0|0|0|30|61|91|"Moist"|"229338352"|"143888414"
30|61|91|46|91|122|"Wet"|"229338352"|"143888415"
